name,description,max_attempts,value,type_data,category,type,state,requirements,connection_info,flags,tags,hints
What is your current working directory?,What is your current working directory?,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""/home/ctf""},""autograde"":{""enabled"":true,""commands"":[""pwd""]}}","[{""type"": ""static"", ""content"": ""/home/ctf""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `what`."", ""cost"": 25}]"
What account are you currently logged in as?,What account are you currently logged in as?,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""ctf""},""autograde"":{""enabled"":true,""commands"":[""whoami""]}}","[{""type"": ""static"", ""content"": ""ctf""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `what`."", ""cost"": 25}]"
Do a long directory listing of an empty directory,Do a long directory listing of an empty directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q03_do_a_long_directory_listing_of_an_empty_directory""},""autograde"":{""enabled"":true,""commands"":[""ls -l""]}}","[{""type"": ""static"", ""content"": ""lab02_q03_do_a_long_directory_listing_of_an_empty_directory""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `long`."", ""cost"": 25}]"
Create a new file with touch,Create a new file with touch,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q04_create_a_new_file_with_touch""},""autograde"":{""enabled"":true,""commands"":[""touch newfile""]}}","[{""type"": ""static"", ""content"": ""lab02_q04_create_a_new_file_with_touch""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `create`."", ""cost"": 25}]"
List the current directory contents to see the file you just created,List the current directory contents to see the file you just created,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q05_list_the_current_directory_contents_to_see_the_file_yo""},""autograde"":{""enabled"":true,""commands"":[""ls -l""]}}","[{""type"": ""static"", ""content"": ""lab02_q05_list_the_current_directory_contents_to_see_the_file_yo""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `list`."", ""cost"": 25}]"
Do a directory listing and include hidden files,Do a directory listing and include hidden files,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q06_do_a_directory_listing_and_include_hidden_files""},""autograde"":{""enabled"":true,""commands"":[""ls -la""]}}","[{""type"": ""static"", ""content"": ""lab02_q06_do_a_directory_listing_and_include_hidden_files""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `directory`."", ""cost"": 25}]"
Change to the /etc/ directory with relative path,Change to the /etc/ directory with relative path,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q07_change_to_the_etc_directory_with_relative_path""},""autograde"":{""enabled"":true,""commands"":[""cd ../../etc""]}}","[{""type"": ""static"", ""content"": ""lab02_q07_change_to_the_etc_directory_with_relative_path""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `change`."", ""cost"": 25}]"
Look at your current working directory with pwd,Look at your current working directory with pwd,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q08_look_at_your_current_working_directory_with_pwd""},""autograde"":{""enabled"":true,""commands"":[""pwd""]}}","[{""type"": ""static"", ""content"": ""lab02_q08_look_at_your_current_working_directory_with_pwd""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `look`."", ""cost"": 25}]"
Do a long directory listing of /etc/network using relative path to your current working directory,Do a long directory listing of /etc/network using relative path to your current working directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q09_do_a_long_directory_listing_of_etc_network_using_relat""},""autograde"":{""enabled"":true,""commands"":[""ls -la ./network""]}}","[{""type"": ""static"", ""content"": ""lab02_q09_do_a_long_directory_listing_of_etc_network_using_relat""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `long`."", ""cost"": 25}]"
Do a long directory listing of /etc/network/ using absolute path,Do a long directory listing of /etc/network/ using absolute path,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""lab02_q10_do_a_long_directory_listing_of_etc_network_using_absol""},""autograde"":{""enabled"":true,""commands"":[""ls -la /etc/network""]}}","[{""type"": ""static"", ""content"": ""lab02_q10_do_a_long_directory_listing_of_etc_network_using_absol""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `long`."", ""cost"": 25}]"
